2020-04-01 12:17:14:1714 info: User: aadlercr | Method: GET | To: /api/blogs/commenttread/311 | Query: {}
2020-04-01 12:17:25:1725 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {}
2020-04-01 12:17:30:1730 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/3111 | Query: {}
2020-04-01 12:18:42:1842 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/3111 | Query: {}
2020-04-01 12:18:44:1844 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/3111 | Query: {}
2020-04-01 12:19:12:1912 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/3111 | Query: {}
2020-04-01 12:19:32:1932 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/3111 | Query: {}
2020-04-01 12:19:37:1937 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {}
2020-04-01 13:48:22:4822 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 13:48:22:4822 info: User: aadlercr | Method: GET | To: /api/resources/tags | Query: {"q":"","limit":"100"}
2020-04-01 13:48:22:4822 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"1","filter":"none","order":"popular","reverse":"false","show":"all"}
2020-04-01 13:48:23:4823 info: User: aadlercr | Method: GET | To: /api/resources | Query: {"page":"2","filter":"none","order":"popular","reverse":"false}","show":"all"}
2020-04-01 13:48:26:4826 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:48:27:4827 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 13:48:28:4828 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 13:48:28:4828 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 13:48:33:4833 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"hello","threadId":338,"originLink":"/forum/31","OPAuthorId":1}
